date,actions,rank
2017-06-30,1,"git1"
2017-07-01,1,"git1"
2017-07-02,0,"git0"
2017-07-03,0,"git0"
2017-07-04,1,"git1"
2017-07-05,1,"git1"
2017-07-06,1,"git1"
2017-07-07,1,"git1"
2017-07-08,1,"git1"
2017-07-09,1,"git1"
2017-07-10,1,"git1"
2017-07-11,1,"git1"
2017-07-12,1,"git1"
2017-07-13,1,"git1"
2017-07-14,1,"git1"
2017-07-15,0,"git0"
2017-07-16,1,"git1"
2017-07-17,1,"git1"
2017-07-18,1,"git1"
2017-07-19,0,"git0"
2017-07-20,1,"git1"
2017-07-21,1,"git1"
2017-07-22,0,"git0"
2017-07-23,0,"git0"
2017-07-24,0,"git0"
2017-07-25,1,"git1"
2017-07-26,1,"git1"
2017-07-27,0,"git0"
2017-07-28,0,"git0"
2017-07-29,0,"git0"
2017-07-30,1,"git1"
2017-07-31,1,"git1"
2017-08-01,0,"git0"
2017-08-02,1,"git1"
2017-08-03,1,"git1"
2017-08-04,1,"git1"
2017-08-05,0,"git0"
2017-08-06,0,"git0"
2017-08-07,0,"git0"
2017-08-08,1,"git1"
2017-08-09,3,"git1"
2017-08-10,3,"git1"
2017-08-11,1,"git1"
2017-08-12,0,"git0"
2017-08-13,0,"git0"
2017-08-14,0,"git0"
2017-08-15,36,"git4"
2017-08-16,14,"git2"
2017-08-17,12,"git2"
2017-08-18,25,"git3"
2017-08-19,2,"git1"
2017-08-20,0,"git0"
2017-08-21,16,"git2"
2017-08-22,9,"git1"
2017-08-23,4,"git1"
2017-08-24,11,"git2"
2017-08-25,8,"git1"
2017-08-26,0,"git0"
2017-08-27,0,"git0"
2017-08-28,0,"git0"
2017-08-29,0,"git0"
2017-08-30,4,"git1"
2017-08-31,0,"git0"
2017-09-01,25,"git3"
2017-09-02,0,"git0"
2017-09-03,0,"git0"
2017-09-04,15,"git2"
2017-09-05,21,"git3"
2017-09-06,10,"git2"
2017-09-07,9,"git1"
2017-09-08,7,"git1"
2017-09-09,0,"git0"
2017-09-10,2,"git1"
2017-09-11,9,"git1"
2017-09-12,3,"git1"
2017-09-13,9,"git1"
2017-09-14,1,"git1"
2017-09-15,5,"git1"
2017-09-16,1,"git1"
2017-09-17,0,"git0"
2017-09-18,1,"git1"
2017-09-19,0,"git0"
2017-09-20,0,"git0"
2017-09-21,0,"git0"
2017-09-22,0,"git0"
2017-09-23,0,"git0"
2017-09-24,0,"git0"
2017-09-25,7,"git1"
2017-09-26,0,"git0"
2017-09-27,5,"git1"
2017-09-28,0,"git0"
2017-09-29,0,"git0"
2017-09-30,0,"git0"
2017-10-01,0,"git0"
2017-10-02,0,"git0"
2017-10-03,0,"git0"
2017-10-04,0,"git0"
2017-10-05,0,"git0"
2017-10-06,0,"git0"
2017-10-07,0,"git0"
2017-10-08,0,"git0"
2017-10-09,0,"git0"
2017-10-10,0,"git0"
2017-10-11,0,"git0"
2017-10-12,0,"git0"
2017-10-13,0,"git0"
2017-10-14,0,"git0"
2017-10-15,0,"git0"
2017-10-16,0,"git0"
2017-10-17,0,"git0"
2017-10-18,5,"git1"
2017-10-19,5,"git1"
2017-10-20,0,"git0"
2017-10-21,0,"git0"
2017-10-22,1,"git1"
2017-10-23,0,"git0"
2017-10-24,0,"git0"
2017-10-25,0,"git0"
2017-10-26,0,"git0"
2017-10-27,0,"git0"
2017-10-28,0,"git0"
2017-10-29,0,"git0"
2017-10-30,0,"git0"
2017-10-31,4,"git1"
2017-11-01,0,"git0"
2017-11-02,2,"git1"
2017-11-03,0,"git0"
2017-11-04,0,"git0"
2017-11-05,0,"git0"
2017-11-06,0,"git0"
2017-11-07,0,"git0"
2017-11-08,0,"git0"
2017-11-09,0,"git0"
2017-11-10,0,"git0"
2017-11-11,0,"git0"
2017-11-12,0,"git0"
2017-11-13,0,"git0"
2017-11-14,0,"git0"
2017-11-15,0,"git0"
2017-11-16,0,"git0"
2017-11-17,0,"git0"
2017-11-18,0,"git0"
2017-11-19,0,"git0"
2017-11-20,0,"git0"
2017-11-21,4,"git1"
2017-11-22,0,"git0"
2017-11-23,0,"git0"
2017-11-24,0,"git0"
2017-11-25,0,"git0"
2017-11-26,0,"git0"
2017-11-27,4,"git1"
2017-11-28,5,"git1"
2017-11-29,59,"git4"
2017-11-30,78,"git4"
2017-12-01,9,"git1"
2017-12-02,0,"git0"
2017-12-03,0,"git0"
2017-12-04,17,"git2"
2017-12-05,11,"git2"
2017-12-06,96,"git4"
2017-12-07,2,"git1"
2017-12-08,2,"git1"
2017-12-09,0,"git0"
2017-12-10,0,"git0"
2017-12-11,7,"git1"
2017-12-12,5,"git1"
2017-12-13,13,"git2"
2017-12-14,1,"git1"
2017-12-15,0,"git0"
2017-12-16,0,"git0"
2017-12-17,0,"git0"
2017-12-18,1,"git1"
2017-12-19,5,"git1"
2017-12-20,10,"git2"
2017-12-21,25,"git3"
2017-12-22,3,"git1"
2017-12-23,0,"git0"
2017-12-24,0,"git0"
2017-12-25,0,"git0"
2017-12-26,0,"git0"
2017-12-27,6,"git1"
2017-12-28,7,"git1"
2017-12-29,2,"git1"
2017-12-30,0,"git0"
2017-12-31,0,"git0"
2018-01-01,0,"git0"
2018-01-02,2,"git1"
2018-01-03,9,"git1"
2018-01-04,14,"git2"
2018-01-05,15,"git2"
2018-01-06,0,"git0"
2018-01-07,0,"git0"
2018-01-08,37,"git4"
2018-01-09,9,"git1"
2018-01-10,3,"git1"
2018-01-11,15,"git2"
2018-01-12,8,"git1"
2018-01-13,0,"git0"
2018-01-14,1,"git1"
2018-01-15,18,"git2"
2018-01-16,27,"git3"
2018-01-17,7,"git1"
2018-01-18,13,"git2"
2018-01-19,2,"git1"
2018-01-20,0,"git0"
2018-01-21,0,"git0"
2018-01-22,0,"git0"
2018-01-23,0,"git0"
2018-01-24,0,"git0"
2018-01-25,87,"git4"
2018-01-26,46,"git4"
2018-01-27,0,"git0"
2018-01-28,0,"git0"
2018-01-29,0,"git0"
2018-01-30,0,"git0"
2018-01-31,0,"git0"
2018-02-01,75,"git4"
2018-02-02,99,"git4"
2018-02-03,0,"git0"
2018-02-04,0,"git0"
2018-02-05,10,"git2"
2018-02-06,0,"git0"
2018-02-07,0,"git0"
2018-02-08,0,"git0"
2018-02-09,0,"git0"
2018-02-10,1,"git1"
2018-02-11,0,"git0"
2018-02-12,6,"git1"
2018-02-13,31,"git4"
2018-02-14,17,"git2"
2018-02-15,18,"git2"
2018-02-16,1,"git1"
2018-02-17,0,"git0"
2018-02-18,5,"git1"
2018-02-19,25,"git3"
2018-02-20,10,"git2"
2018-02-21,29,"git3"
2018-02-22,7,"git1"
2018-02-23,0,"git0"
2018-02-24,0,"git0"
2018-02-25,0,"git0"
2018-02-26,4,"git1"
2018-02-27,0,"git0"
2018-02-28,0,"git0"
2018-03-01,7,"git1"
2018-03-02,1,"git1"
2018-03-03,0,"git0"
2018-03-04,6,"git1"
2018-03-05,6,"git1"
2018-03-06,0,"git0"
2018-03-07,3,"git1"
2018-03-08,0,"git0"
2018-03-09,1,"git1"
2018-03-10,0,"git0"
2018-03-11,0,"git0"
2018-03-12,0,"git0"
2018-03-13,0,"git0"
2018-03-14,0,"git0"
2018-03-15,21,"git3"
2018-03-16,60,"git4"
2018-03-17,12,"git2"
2018-03-18,3,"git1"
2018-03-19,5,"git1"
2018-03-20,2,"git1"
2018-03-21,4,"git1"
2018-03-22,5,"git1"
2018-03-23,1,"git1"
2018-03-24,0,"git0"
2018-03-25,0,"git0"
2018-03-26,3,"git1"
2018-03-27,6,"git1"
2018-03-28,42,"git4"
2018-03-29,10,"git2"
2018-03-30,2,"git1"
2018-03-31,0,"git0"
2018-04-01,0,"git0"
2018-04-02,5,"git1"
2018-04-03,1,"git1"
2018-04-04,2,"git1"
2018-04-05,14,"git2"
2018-04-06,4,"git1"
2018-04-07,2,"git1"
2018-04-08,4,"git1"
2018-04-09,6,"git1"
2018-04-10,15,"git2"
2018-04-11,38,"git4"
2018-04-12,12,"git2"
2018-04-13,20,"git3"
2018-04-14,0,"git0"
2018-04-15,12,"git2"
2018-04-16,22,"git3"
2018-04-17,30,"git4"
2018-04-18,30,"git4"
2018-04-19,9,"git1"
2018-04-20,0,"git0"
2018-04-21,0,"git0"
2018-04-22,0,"git0"
2018-04-23,32,"git4"
2018-04-24,0,"git0"
2018-04-25,10,"git2"
2018-04-26,3,"git1"
2018-04-27,1,"git1"
2018-04-28,1,"git1"
2018-04-29,1,"git1"
2018-04-30,13,"git2"
2018-05-01,12,"git2"
2018-05-02,4,"git1"
2018-05-03,34,"git4"
2018-05-04,3,"git1"
2018-05-05,0,"git0"
2018-05-06,0,"git0"
2018-05-07,22,"git3"
2018-05-08,12,"git2"
2018-05-09,99,"git4"
2018-05-10,40,"git4"
2018-05-11,0,"git0"
2018-05-12,2,"git1"
2018-05-13,8,"git1"
2018-05-14,13,"git2"
2018-05-15,40,"git4"
2018-05-16,28,"git3"
2018-05-17,23,"git3"
2018-05-18,37,"git4"
2018-05-19,1,"git1"
2018-05-20,4,"git1"
2018-05-21,8,"git1"
2018-05-22,20,"git3"
2018-05-23,22,"git3"
2018-05-24,1,"git1"
2018-05-25,3,"git1"
2018-05-26,1,"git1"
2018-05-27,1,"git1"
2018-05-28,4,"git1"
2018-05-29,9,"git1"
2018-05-30,7,"git1"
2018-05-31,36,"git4"
2018-06-01,20,"git3"
2018-06-02,13,"git2"
2018-06-03,3,"git1"
2018-06-04,13,"git2"
2018-06-05,10,"git2"
2018-06-06,8,"git1"
2018-06-07,25,"git3"
2018-06-08,5,"git1"
2018-06-09,0,"git0"
2018-06-10,2,"git1"
2018-06-11,3,"git1"
2018-06-12,7,"git1"
2018-06-13,1,"git1"
2018-06-14,0,"git0"
2018-06-15,17,"git2"
2018-06-16,28,"git3"
2018-06-17,99,"git4"
2018-06-18,44,"git4"
2018-06-19,2,"git1"
2018-06-20,1,"git1"
2018-06-21,13,"git2"
2018-06-22,19,"git2"
2018-06-23,1,"git1"
2018-06-24,3,"git1"
2018-06-25,0,"git0"
2018-06-26,84,"git4"
2018-06-27,17,"git2"
2018-06-28,0,"git0"
2018-06-29,28,"git3"
2018-06-30,82,"git4"
