series,id,stardate,title
Deep Space 9,4116,2369-11,If Wishes Were Horses
Next Generation,3624,2369-11,Second Chances
Deep Space 9,4117,2369-12,Forsaken
Deep Space 9,4118,2369-12,Dramatis Personae
Next Generation,3625,2369-12,Timescape
Deep Space 9,4119,2369-12,Duet
Next Generation,3626,2369-12,Descent Part I
Deep Space 9,4120,2369-12,In the Hands of the Prophets
Next Generation,3701,2370-01,Descent Part II
Next Generation,3702,2370,Liaisons
Deep Space 9,4201,2370,Homecoming
Next Generation,3703,2370-03,Interface
Deep Space 9,4202,2370,Circle
Next Generation,3704,2370-02,Gambit Part I
Deep Space 9,4203,2370-02,Siege
Next Generation,3705,2370-02,Gambit Part II
Deep Space 9,4204,2370-03,Invasive Procedures
Next Generation,3706,2370-03,Phantasms
Deep Space 9,4205,2370-03,Cardassians
Next Generation,3707,2370-04,Dark Page
Deep Space 9,4206,2370-03,Melora
Next Generation,3708,2370-04,Attached
Deep Space 9,4207,2370-04,Rules of Acquisition
Next Generation,3709,2370-04,Force of Nature
Deep Space 9,4208,2370-04,Necessary Evil
Next Generation,3710,2370-05,Inheritance
Deep Space 9,4209,2370-04,Second Sight
Next Generation,3711,2370-05,Parallels
Deep Space 9,4210,2370-05,Sanctuary
Deep Space 9,4211,2370,Rivals
Next Generation,3712,2370-06,Pegasus
Deep Space 9,4212,2370-05,Alternate
Next Generation,3713,2370-06,Homeward
Next Generation,3714,2370-06,Sub Rosa
Deep Space 9,4213,2370,Armageddon Game
Next Generation,3715,2370-07,Lower Decks
Deep Space 9,4214,2370-07,Whispers
Next Generation,3716,2370-08,Thine Own Self
Deep Space 9,4215,2370-07,Paradise
Next Generation,3717,2370-08,Masks
Deep Space 9,4216,2370-08,Shadowplay
Next Generation,3718,2370-08,Eye of the Beholder
Deep Space 9,4217,2370-08,Playing God
Next Generation,3719,2370-08,Genesis
Deep Space 9,4218,2370,Profit and Loss
Next Generation,3720,2370-10,Journey's End
Deep Space 9,4219,2370-10,Blood Oath
Next Generation,3721,2370-10,Firstborn
Deep Space 9,4220,2370-10,Maquis Part I
Next Generation,3722,2370-10,Bloodlines
Deep Space 9,4221,2370,Maquis Part II
Next Generation,3723,2370-11,Emergence
Deep Space 9,4222,2370,Wire
Next Generation,3724,2370-12,Preemptive Strike
Deep Space 9,4223,2370-11,Crossover
Next Generation,3725,2370-12,All Good Things...
Deep Space 9,4224,2370-12,Collaborator
Deep Space 9,4225,2370-12,Tribunal
Deep Space 9,4226,2370-12,Jem'Hadar
Deep Space 9,4301,2371-03,Search Part I
Deep Space 9,4302,2371-03,Search Part II
Deep Space 9,4303,2371,House of Quark
Deep Space 9,4304,2371,Equilibrium
Deep Space 9,4306,2371,Abandoned
Deep Space 9,4305,2371,Second Skin
Deep Space 9,4307,2371,Civil Defense
Deep Space 9,4308,2371-06,Meridian
Theatrical 7,M-07,2371-08,Star Trek: Generations
Deep Space 9,4309,2371-06,Defiant
Deep Space 9,4310,2371-06,Fascination
Deep Space 9,4311,2371-06,Past Tense Part I
Deep Space 9,4312,2371-06,Past Tense Part II
Voyager,5101,2371-04,Caretaker Part I
Voyager,5102,2371-04,Caretaker Part II
Voyager,5103,2371-06,Parallax
Voyager,5104,2371-06,Time and Again
Deep Space 9,4313,2371-06,Life Support
Voyager,5105,2371-07,Phage
Deep Space 9,4314,2371-07,Heart of Stone
Voyager,5106,2371-07,Cloud
Deep Space 9,4315,2371-07,Destiny
Voyager,5107,2371-07,Eye of the Needle
Deep Space 9,4316,2371,Prophet Motive
Voyager,5108,2371,Ex Post Facto
Deep Space 9,4317,2371,Visionary
Voyager,5109,2371-08,Emanations
Voyager,5110,2371-08,Prime Factors
Voyager,5111,2371-08,State of Flux
Deep Space 9,4318,2371,Distant Voices
Deep Space 9,4319,2371,Through the Looking Glass
Voyager,5112,2371-09,Heroes and Demons
Deep Space 9,4320,2371-09,Improbable Cause
Voyager,5113,2371-09,Cathexis
Deep Space 9,4321,2371,Die is Cast
Voyager,5114,2371-10,Faces
Deep Space 9,4322,2371-10,Explorers
Voyager,5115,2371-10,Jetrel
Deep Space 9,4323,2371,Family Business
Voyager,5116,2371-11,Learning Curve
Deep Space 9,4324,2371,Shakaar
Deep Space 9,4325,2371,Facets
Deep Space 9,4326,2371-12,Adversary
Voyager,5204,2371-12,37's
Voyager,5205,2372-01,Initiations
Voyager,5201,2371-11,Projections
Voyager,5202,2371-12,Elogium
Voyager,5206,2372-01,Non Sequitur
Deep Space 9,4401,2372-01,Way of the Warrior
Voyager,5203,2372-01,Twisted
Deep Space 9,4402,2372-01,Visitor
Voyager,5207,2372-01,Parturition
Deep Space 9,4403,2372-01,Hippocratic Oath
Deep Space 9,4404,2372-02,Indiscretion
Deep Space 9,4405,2372-03,Rejoined
Voyager,5208,2372,Persistence of Vision
Deep Space 9,4406,2372,Little Green Men
Voyager,5209,2372,Tattoo
Deep Space 9,4407,2372-04,Starship Down
Voyager,5210,2372,Cold Fire
Deep Space 9,4408,2372,Sword of Kahless
Voyager,5211,2372-03,Maneuvers
Voyager,5212,2372-03,Resistance
Deep Space 9,4409,2372-03,Our Man Bashir
Deep Space 9,4410,2372-03,Homefront
Deep Space 9,4411,2372-06,Paradise Lost
Voyager,5213,2372,Prototype
Voyager,5215,2372-05,Alliances
Deep Space 9,4412,2372-05,Crossfire
Voyager,5216,2372-05,Threshold
Deep Space 9,4413,2372,Return to Grace
Voyager,5217,2372,Meld
Deep Space 9,4414,2372-07,Sons of Mogh
Voyager,5218,2372-06,Dreadnought
Voyager,5214,2372-04,Death Wish
Deep Space 9,4415,2372,Bar Association
Deep Space 9,4416,2372,Accession
Voyager,5220,2372-07,Lifesigns
Voyager,5219,2372-06,Investigations
Voyager,5221,2372-07,Deadlock
Deep Space 9,4417,2372-07,Rules of Engagement
Voyager,5222,2372-07,Innocence
Deep Space 9,4418,2372-07,Hard Time
Deep Space 9,4419,2372-07,Shattered Mirror
Deep Space 9,4420,2372-07,Muse
Voyager,5223,2372-07,Thaw
Deep Space 9,4421,2372-07,For the Cause
Voyager,5224,2372-07,Tuvix
Deep Space 9,4423,2372,Quickening
Voyager,5225,2372-08,Resolutions
Deep Space 9,4422,2372-11,To the Death
Deep Space 9,4424,2372,Body Parts
Deep Space 9,4425,2372-12,Broken Link
Voyager,5226,2373-01,Basics Part I
Deep Space 9,4501,2373-01,Apocalypse Rising
Voyager,5301,2373-01,Basics Part II
Deep Space 9,4502,2373-01,Ship
Voyager,5307,2373-01,Sacred Ground
Deep Space 9,4503,2373-01,Looking for Par'Mach in..
Voyager,5305,2373-01,False Profits
Deep Space 9,4504,2373-02,Nor the Battle to the Strong
Voyager,5302,2373-02,Flashback
Deep Space 9,4505,2373-02,Assignment
Voyager,5303,2373-02,Chute
Deep Space 9,4506,2373,Trials and Tribble-ations
Voyager,5306,2373-03,Remember
Deep Space 9,4507,2373-03,Let He Who is Without Sin
Voyager,5304,2373-04,Swarm
Deep Space 9,4508,2373-04,Things Past
Voyager,5308,2373-04,Future's End Part I
Deep Space 9,4509,2373-04,Ascent
Voyager,5309,2373-04,Future's End Part II
Deep Space 9,4510,2373,Rapture
Voyager,5310,2373-05,Warlord
Voyager,5311,2373-05,Q and the Grey
Deep Space 9,4511,2373-05,Darkness and the Light
Voyager,5312,2373-06,Macrocosm
Deep Space 9,4512,2373-06,Begotten
Voyager,5313,2373-06,Fair Trade
Voyager,5314,2373-06,Alter Ego
Deep Space 9,4513,2373-06,For the Uniform
Voyager,5315,2373-07,Coda
Deep Space 9,4514,2373-07,In Purgatory's Shadow
Voyager,5316,2373-07,Blood Fever
Deep Space 9,4515,2373-07,By Inferno's Light
Voyager,5317,2373-08,Unity
Deep Space 9,4516,2373,Doctor Bashir I Presume
Deep Space 9,4517,2373,Simple Investigation
Deep Space 9,4518,2373,Business as Usual
Voyager,5318,2373-09,Darkling
Deep Space 9,4519,2373-09,Ties of Blood and Water
Voyager,5319,2373-09,Rise
Deep Space 9,4520,2373-09,Ferengi Love Songs
Voyager,5320,2373-09,Favorite Son
Deep Space 9,4521,2373,Soldiers of the Empire
Voyager,5321,2373,Before and After
Deep Space 9,4522,2373-10,Children of Time
Voyager,5322,2373-11,Real Life
Deep Space 9,4523,2373-11,Blaze of Glory
Voyager,5323,2373-11,Distant Origin
Theatrical 8,M-08,2373-11,Star Trek: First Contact
Deep Space 9,4524,2373-11,Empok Nor
Voyager,5324,2373-11,Displaced
Deep Space 9,4525,2373-12,In the Cards
Voyager,5325,2373-12,Worst Case Scenario
Deep Space 9,4526,2373-12,Call to Arms
Voyager,5326,2373-12,Scorpion Part I
Voyager,5401,2374-01,Scorpion Part II
Voyager,5402,2374-01,Gift
Voyager,5403,2374-01,Day of Honor
Voyager,5404,2374-01,Nemesis
Deep Space 9,4601,2374,Time to Stand
Voyager,5405,2374-03,Revulsion
Deep Space 9,4602,2374-02,Rocks and Shoals
Voyager,5406,2374-03,Raven
Deep Space 9,4603,2374-02,Sons and Daughters
Deep Space 9,4604,2374-02,Behind the Lines
Deep Space 9,4605,2374,Favor the Bold
Voyager,5407,2374-03,Scientific Method
Deep Space 9,4606,2374,Sacrifice of Angels
Voyager,5408,2374-04,Year of Hell Part I
Deep Space 9,4607,2374-04,You Are Cordially Invited
Voyager,5409,2374-06,Year of Hell Part II
Deep Space 9,4608,2374,Resurrection
Voyager,5410,2374-05,Random Thoughts
Deep Space 9,4609,2374-05,Statistical Probabilities
Voyager,5411,2374-05,Concerning Flight
Voyager,5412,2374-06,Mortal Coil
Deep Space 9,4610,2374,Magnificent Ferengi
Deep Space 9,4611,2374-05,Waltz
Voyager,5413,2374-06,Waking Moments
Voyager,5414,2374,Message in a Bottle
Deep Space 9,4612,2374,Who Mourns for Morn?
Deep Space 9,4613,2374,Far Beyond the Stars
Voyager,5415,2374-07,Hunters
Deep Space 9,4614,2374-06,One Little Ship
Voyager,5416,2374-08,Prey
Deep Space 9,4615,2374,Honor Among Thieves
Voyager,5417,2374-09,Retrospect
Deep Space 9,4616,2374-08,Change of Heart
Voyager,5418,2374-09,Killing Game Part I
Voyager,5419,2374-09,Killing Game Part II
Deep Space 9,4617,2374,Wrongs Darker Then Death or Night
Deep Space 9,4618,2374,Inquisition
Voyager,5420,2374-10,Vis a Vis
Deep Space 9,4619,2374-09,In the Pale Moonlight
Voyager,5421,2374-10,Omega Directive
Deep Space 9,4620,2374-10,His Way
Voyager,5422,2374-10,Unforgettable
Deep Space 9,4621,2374-10,Reckoning
Voyager,5423,2374-10,Living Witness
Deep Space 9,4622,2374-10,Valiant
Voyager,5424,2374,Demon
Deep Space 9,4623,2374,Profit and Lace
Voyager,5425,2374-12,One
Deep Space 9,4624,2374-12,Time's Orphan
Voyager,5426,2374-12,Hope and Fear
Deep Space 9,4625,2374-12,Sound of Her Voice
Deep Space 9,4626,2374-12,Tears of the Prophets
Deep Space 9,4701,2375,Image in the Sand
Deep Space 9,4702,2375-02,Shadows and Symbols
Deep Space 9,4703,2375,Afterimage
Voyager,5501,2375-01,Night
Deep Space 9,4704,2375,Take Me Out to the Holosuite
Voyager,5502,2375,Drone
Deep Space 9,4705,2375,Chrysalis
Voyager,5503,2375,Extreme Risk
Deep Space 9,4706,2375,Treachery Faith and the Great River
Voyager,5504,2375-02,In the Flesh
Deep Space 9,4707,2375-02,Once More Unto the Breach
Voyager,5505,2375-02,Once Upon a Time
Deep Space 9,4708,2375-02,Siege of AR-558
Voyager,5506,2375-02,Timeless
Deep Space 9,4709,2375,Covenant
Voyager,5507,2375-03,Infinite Regress
Theatrical 9,M-09,2375,Star Trek: Insurrection
Voyager,5508,2375-03,Nothing Human
Voyager,5509,2375-03,Thirty Days
Voyager,5510,2375,Counterpoint
Deep Space 9,4710,2375,It's Only a Paper Moon
Deep Space 9,4711,2375,Prodigal Daughter
Voyager,5511,2375,Latent Image
Voyager,5512,2375,Bride of Chaotica!
Deep Space 9,4712,2375,Emperor's New Cloak
Voyager,5513,2375-06,Gravity
Deep Space 9,4713,2375,Field of Fire
Voyager,5514,2375-07,Bliss
Deep Space 9,4714,2375,Chimera
Voyager,5515,2375-08,Dark Frontier Part I
Voyager,5516,2375-08,Dark Frontier Part II
Deep Space 9,4715,2375-08,Badda-Bing Badda-Bang
Voyager,5517,2375-08,Disease
Deep Space 9,4716,2375-08,Inter Arma Enim Silent Leges
Voyager,5518,2375-08,Course: Oblivion
Voyager,5519,2375-08,Fight
Voyager,5520,2375-08,Think Tank
Deep Space 9,4717,2375-07,Penumbra
Deep Space 9,4718,2375-08,Til Death Us Do Part
Deep Space 9,4719,2375-08,Strange Bedfellows
Voyager,5521,2375-08,Juggernaut
Deep Space 9,4720,2375-08,Changing Face of Evil
Voyager,5522,2375-08,Someone to Watch Over Me
Deep Space 9,4721,2375,When It Rains...
Voyager,5523,2375-04,7 Jan 2013 11:59
Deep Space 9,4722,2375,Tacking into the Wind
Voyager,5524,2375-11,Relativity
Deep Space 9,4723,2375-08,Extreme Measures
Voyager,5525,2375,Warhead
Deep Space 9,4724,2375,Dogs of War
Voyager,5526,2375,Equinox Part I
Deep Space 9,4725,2375,What You Leave Behind Part I
Deep Space 9,4726,2375,What You Leave Behind Part II
Voyager,5601,2376-01,Equinox Part II
Voyager,5602,2376-01,Suvival Instinct
Voyager,5603,2376,Barge of the Dead
Voyager,5604,2376,Tinker Tenor Doctor Spy
Voyager,5605,2376,Alice
Voyager,5606,2376-04,Riddles
Voyager,5607,2376-03,Dragon's Teeth
Voyager,5608,2376-04,One Small Step
Voyager,5609,2376-04,Voyager Conspiracy
Voyager,5610,2376,Pathfinder
Voyager,5611,2376,Fair Haven
Voyager,5612,2376,Blink of an Eye
Voyager,5613,2376-07,Virtuoso
Voyager,5614,2376,Memorial
Voyager,5615,2376-06,Tsunkatse
Voyager,5616,2376,Collective
Voyager,5617,2376,Spirit Folk
Voyager,5618,2376-09,Ashes to Ashes
Voyager,5619,2376,Child's Play
Voyager,5620,2376-10,Good Shepherd
Voyager,5621,2376-11,Live Fast and Prosper
Voyager,5622,2376-11,Muse
Voyager,5623,2376,Fury
Voyager,5624,2376,Life Line
Voyager,5625,2376,Haunting of Deck Twelve
Voyager,5626,2376-12,Unimatrix Zero Part I
Voyager,5701,2377-01,Unimartix Zero Part 2
Voyager,5702,2377-02,Imperfection
Voyager,5703,2377-01,Drive
Voyager,5704,2377-01,Repression
Voyager,5705,2377,Critical Care
Voyager,5706,2377-03,Inside Man
Voyager,5707,2377-03,Body and Soul
Voyager,5708,2377-04,Nightingale
Voyager,5709,2377,Flesh and Blood Part I
Voyager,5710,2377-05,Flesh and Blood Part II
Voyager,5711,2377,Shattered
Voyager,5712,2377-06,Lineage
Voyager,5713,2377,Repentance
Voyager,5714,2377-07,Prophecy
Voyager,5715,2377-07,Void
Voyager,5716,2377-08,Workforce Part I
Voyager,5717,2377-08,Workforce Part II
Voyager,5718,2377,Human Error
Voyager,5719,2377-09,Q2
Voyager,5720,2377-09,Author Author
Voyager,5721,2377-10,Friendship One
Voyager,5722,2377-10,Natural Law
Voyager,5723,2377-11,Homestead
Voyager,5724,2377-11,Renaissance Man
Voyager,5725,2377,Endgame Part I
Voyager,5726,2377-12,Endgame Part II
Theatrical 10,M-10,2379,Star Trek: Nemesis
Theatrical 11,M-11,2233,Star Trek
Theatrical 12,M-12,N/A,Star Trek Into Darkness
Theatrical 13,M-13,2263.2,Star Trek Beyond
Discovery,101,1207.3,The Vulcan Hello
Discovery,102,1207.3,Battle at the Binary Stars
Discovery,103,N/A,Context Is for Kings
Discovery,104,N/A,The Butcher's Knife Cares Not for the Lamb's Cry
Discovery,105,N/A,Choose Your Pain
Discovery,106,N/A,Lethe
Discovery,107,2136.8-2137.2,Magic to Make the Sanest Man Go Mad
Discovery,108,1308.9,"Si Vis Pacem, Para Bellum"
Discovery,109,N/A,Into the Forest I Go
Discovery,110,N/A,Despite Yourself
Discovery,111,N/A,The Wolf Inside
Discovery,112,N/A,Vaulting Ambition
Discovery,113,1834.2,What's Past Is Prologue
Discovery,114,N/A,"The War Without, The War Within"
Discovery,115,N/A,Will You Take My Hand?
